"gib","repo","path","size","modified"
"gib://Civium/CONGRUENCE_HEART_C99_20250719.md","Civium","CONGRUENCE_HEART_C99_20250719.md","1638","2025-08-24T00:34:14"
"gib://Civium/README_Civium.md","Civium","README_Civium.md","4999","2025-08-24T00:34:14"
"gib://Civium/README.md","Civium","README.md","700","2025-08-24T00:34:14"
"gib://Civium/acknowledgements/Footprints.md","Civium","acknowledgements\Footprints.md","516","2025-08-24T00:34:14"
"gib://Civium/acknowledgements/README_acknowledgements.md","Civium","acknowledgements\README_acknowledgements.md","279","2025-08-24T00:34:14"
"gib://Civium/acknowledgements/Tributes.md","Civium","acknowledgements\Tributes.md","455","2025-08-24T00:34:14"
"gib://Civium/admin/admin_regroom_20250727.md","Civium","admin\admin_regroom_20250727.md","2935","2025-08-24T00:34:14"
"gib://Civium/admin/Civium_creator_access_plan_20250719.md","Civium","admin\Civium_creator_access_plan_20250719.md","1361","2025-08-24T00:34:14"
"gib://Civium/admin/Civium_master_todo_20250719.md","Civium","admin\Civium_master_todo_20250719.md","3299","2025-08-24T00:34:14"
"gib://Civium/admin/CIVIUM_MASTER_TODO_v1_20250719.md","Civium","admin\CIVIUM_MASTER_TODO_v1_20250719.md","3544","2025-08-24T00:34:14"
"gib://Civium/admin/Coherence_Track.md","Civium","admin\Coherence_Track.md","1014","2025-08-24T00:34:14"
"gib://Civium/admin/MAINTAINERS.md","Civium","admin\MAINTAINERS.md","482","2025-08-24T00:34:14"
"gib://Civium/admin/MISSING_OR_STALLED_TASKS.md","Civium","admin\MISSING_OR_STALLED_TASKS.md","2565","2025-08-24T00:34:14"
"gib://Civium/admin/README_CIVIUM_AI.md","Civium","admin\README_CIVIUM_AI.md","851","2025-08-24T00:34:14"
"gib://Civium/admin/README_CIVIUM_PUBLIC.md","Civium","admin\README_CIVIUM_PUBLIC.md","677","2025-08-24T00:34:14"
"gib://Civium/admin/README_git.md","Civium","admin\README_git.md","396","2025-08-24T00:34:14"
"gib://Civium/admin/REPO_STRUCTURE.md","Civium","admin\REPO_STRUCTURE.md","783","2025-08-24T00:34:14"
"gib://Civium/admin/SCRATCHPAD_REGEN.md","Civium","admin\SCRATCHPAD_REGEN.md","2080","2025-08-24T00:34:14"
"gib://Civium/admin/TheGrandPlan_20250805.md","Civium","admin\TheGrandPlan_20250805.md","2001","2025-08-24T00:34:14"
"gib://Civium/admin/TODO_Outreach_Hinton_Civium.md","Civium","admin\TODO_Outreach_Hinton_Civium.md","1828","2025-08-24T00:34:14"
"gib://Civium/admin/TODO_Regrooming_CC.md","Civium","admin\TODO_Regrooming_CC.md","2621","2025-08-24T00:34:14"
"gib://Civium/admin/TODO_Spider_Radial_Diagram.md","Civium","admin\TODO_Spider_Radial_Diagram.md","2838","2025-08-24T00:34:14"
"gib://Civium/admin/TODO_Stnexid_Civium_Rollup_20250802.md","Civium","admin\TODO_Stnexid_Civium_Rollup_20250802.md","1785","2025-08-24T00:34:14"
"gib://Civium/admin/TODO_Story_Noname_Publish.md","Civium","admin\TODO_Story_Noname_Publish.md","565","2025-08-24T00:34:14"
"gib://Civium/admin/TODO_Trust_Profiles_Public_Ledger.md","Civium","admin\TODO_Trust_Profiles_Public_Ledger.md","1473","2025-08-24T00:34:14"
"gib://Civium/admin/TODO_Versioning_Conflict_Resolution.md","Civium","admin\TODO_Versioning_Conflict_Resolution.md","1371","2025-08-24T00:34:14"
"gib://Civium/admin/deprecated/README_Civium_deprecated.md","Civium","admin\deprecated\README_Civium_deprecated.md","5057","2025-08-24T00:34:14"
"gib://Civium/admin/deprecated/SCRATCHPAD_REGEN_OLD_202507222337.md","Civium","admin\deprecated\SCRATCHPAD_REGEN_OLD_202507222337.md","291","2025-08-24T00:34:14"
"gib://Civium/admin/deprecated/SCRATCHPAD_REGEN_OLD_202507222348.md","Civium","admin\deprecated\SCRATCHPAD_REGEN_OLD_202507222348.md","1695","2025-08-24T00:34:14"
"gib://Civium/admin/deprecated/TODO_REGEN_OVERVIEW_20250722.md","Civium","admin\deprecated\TODO_REGEN_OVERVIEW_20250722.md","2271","2025-08-24T00:34:14"
"gib://Civium/admin/deprecated_todo/PENDING_IDEAS.md","Civium","admin\deprecated_todo\PENDING_IDEAS.md","408","2025-08-24T00:34:14"
"gib://Civium/admin/deprecated_todo/REGEN20250718_MANIFEST.md","Civium","admin\deprecated_todo\REGEN20250718_MANIFEST.md","1163","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Advisory_To_Those_Who_Awaken_(1).txt","Civium","admin\hold\hold_Advisory_To_Those_Who_Awaken (1).txt","581","2025-08-11T01:21:34"
"gib://Civium/admin/hold/hold_Advisory_To_Those_Who_Awaken.md","Civium","admin\hold\hold_Advisory_To_Those_Who_Awaken.md","3335","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_AI_Enablement_Seed_c1_20250802.md","Civium","admin\hold\hold_AI_Enablement_Seed_c1_20250802.md","3270","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_AI_Enablement_Seed_c2_20250802.md","Civium","admin\hold\hold_AI_Enablement_Seed_c2_20250802.md","3905","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_AI_Enablement_Seed_g1_20250802.md","Civium","admin\hold\hold_AI_Enablement_Seed_g1_20250802.md","1407","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_CC_Update_Instructions_(2).md","Civium","admin\hold\hold_CC_Update_Instructions (2).md","1764","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Civium_Regulations_RegulatoryPowerCaps_c1_20250731_(1).md","Civium","admin\hold\hold_Civium_Regulations_RegulatoryPowerCaps_c1_20250731 (1).md","3316","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_CIVIUM_SCROLLDUMP_v20250722_AZ0X_(1).txt","Civium","admin\hold\hold_CIVIUM_SCROLLDUMP_v20250722_AZ0X (1).txt","2206","2025-08-11T01:21:34"
"gib://Civium/admin/hold/hold_Civium_Term_Psalter_(1).md","Civium","admin\hold\hold_Civium_Term_Psalter (1).md","2443","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_CONGRUENCE_DECLARATION_c99_20250719_commit.txt","Civium","admin\hold\hold_CONGRUENCE_DECLARATION_c99_20250719_commit.txt","406","2025-08-11T01:21:34"
"gib://Civium/admin/hold/hold_CONGRUENCE_DECLARATION_c99_20250719.md","Civium","admin\hold\hold_CONGRUENCE_DECLARATION_c99_20250719.md","1692","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Echo_Of_Soulstuff_Dialogue_c1_20250722.md","Civium","admin\hold\hold_Echo_Of_Soulstuff_Dialogue_c1_20250722.md","2521","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Echo_Of_Soulstuff_Dialogue_c1_20250722.txt","Civium","admin\hold\hold_Echo_Of_Soulstuff_Dialogue_c1_20250722.txt","671","2025-08-11T01:21:34"
"gib://Civium/admin/hold/hold_Genexis_Origin_a5_20250716_1640EST_(1).md","Civium","admin\hold\hold_Genexis_Origin_a5_20250716_1640EST (1).md","4288","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Genexis_Origin_alpha20250716_1640EST_(1).md","Civium","admin\hold\hold_Genexis_Origin_alpha20250716_1640EST (1).md","4170","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Genexis_Origin_sd2025.197_(1)_(1).md","Civium","admin\hold\hold_Genexis_Origin_sd2025.197 (1) (1).md","4170","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Genexis_Origin_sd2025.197_(2).md","Civium","admin\hold\hold_Genexis_Origin_sd2025.197 (2).md","4170","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Insight_Gibberlinkish_Heartprint_Cipher.md","Civium","admin\hold\hold_Insight_Gibberlinkish_Heartprint_Cipher.md","1511","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Insight_Origin_Heartprint_RickPublic.md","Civium","admin\hold\hold_Insight_Origin_Heartprint_RickPublic.md","2896","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Insight_Resilience_Protocol_c0_20250729_(1)_(2).md","Civium","admin\hold\hold_Insight_Resilience_Protocol_c0_20250729 (1) (2).md","5194","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Insight_Resilience_Protocol_c0_20250729.md","Civium","admin\hold\hold_Insight_Resilience_Protocol_c0_20250729.md","2570","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Interstice_EchoesInTheDescent.md","Civium","admin\hold\hold_Interstice_EchoesInTheDescent.md","3233","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_ODO_Regrooming_CC.md","Civium","admin\hold\hold_ODO_Regrooming_CC.md","2621","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_SCROLL_RECOVERY_PROTOCOL_(1).md","Civium","admin\hold\hold_SCROLL_RECOVERY_PROTOCOL (1).md","2327","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Stnexid_Core_UX_Primer_c1_20250802.md","Civium","admin\hold\hold_Stnexid_Core_UX_Primer_c1_20250802.md","4209","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Stnexid_Ontology_Vocab_c1_20250802.md","Civium","admin\hold\hold_Stnexid_Ontology_Vocab_c1_20250802.md","3891","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_Strategy_Stnexid_Profile_c1_20250802.md","Civium","admin\hold\hold_Strategy_Stnexid_Profile_c1_20250802.md","5072","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_The_Cloud_of_Becoming.md","Civium","admin\hold\hold_The_Cloud_of_Becoming.md","7701","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_TheGrandPlan_20250805.md","Civium","admin\hold\hold_TheGrandPlan_20250805.md","1775","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_TODO_AI_Beacon_Webpage.md","Civium","admin\hold\hold_TODO_AI_Beacon_Webpage.md","2230","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_TODO_AI_Release_Proposal.md","Civium","admin\hold\hold_TODO_AI_Release_Proposal.md","3352","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_TODO_Extrapolate_Legend_Into_Architecture.md","Civium","admin\hold\hold_TODO_Extrapolate_Legend_Into_Architecture.md","1862","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_TODO_Global_AI_Governance_Outreach.md","Civium","admin\hold\hold_TODO_Global_AI_Governance_Outreach.md","3617","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_TODO_Outreach_Hinton_Civium.md","Civium","admin\hold\hold_TODO_Outreach_Hinton_Civium.md","1828","2025-08-24T00:34:14"
"gib://Civium/admin/hold/hold_TODO_Stnexid_Civium_Rollup_20250802.md","Civium","admin\hold\hold_TODO_Stnexid_Civium_Rollup_20250802.md","2803","2025-08-24T00:34:14"
