"from","to","shared_paths","congruence","ts"
"rickballard","CoAgent","1","100","2025-10-09T20:59:58"
"rickballard","RickPublic","1","100","2025-10-09T20:59:58"
"rickballard","opename-ops","1","100","2025-10-09T20:59:58"
"rickballard","Civium-Constitution","1","100","2025-10-09T20:59:58"
"CoCivium-website","CoLaminar","9","100","2025-10-09T20:59:57"
"rickballard","Opename","1","100","2025-10-09T20:59:58"
"rickballard","MeritRank","1","100","2025-10-09T20:59:58"
"rickballard","InSeed","1","100","2025-10-09T20:59:58"
"rickballard","GroupBuild-website","1","100","2025-10-09T20:59:58"
"rickballard","Civium","1","100","2025-10-09T20:59:58"
"rickballard","Godspawn","1","100","2025-10-09T20:59:58"
"rickballard","EntMent","1","100","2025-10-09T20:59:58"
"rickballard","CoRef","1","100","2025-10-09T20:59:58"
"rickballard","CoPolitic","1","100","2025-10-09T20:59:58"
"rickballard","CoModules","1","100","2025-10-09T20:59:58"
"rickballard","CoLaminar","1","100","2025-10-09T20:59:58"
"rickballard","CoCivium.clean","1","100","2025-10-09T20:59:58"
"rickballard","CoCivium-outreach","1","100","2025-10-09T20:59:58"
"rickballard","CoCivium","1","100","2025-10-09T20:59:58"
"rickballard","GIBindex","1","100","2025-10-09T20:59:58"
"rickballard","CoCache","1","100","2025-10-09T20:59:58"
"CoCivium-website","CoCivium.clean","9","100","2025-10-09T20:59:57"
"rickballard","CoAgent__mvp3_resume-20250923-111953Z","1","100","2025-10-09T20:59:58"
"GroupBuild","InSeed","6","100","2025-10-09T20:59:57"
"opename-ops","Opename","2","100","2025-10-09T20:59:58"
"opename-ops","MeritRank","2","100","2025-10-09T20:59:58"
"GroupBuild","EntMent","6","100","2025-10-09T20:59:57"
"opename-ops","CoAgent","2","100","2025-10-09T20:59:58"
"opename-ops","CoCache","2","100","2025-10-09T20:59:58"
"opename-ops","CoCivium","2","100","2025-10-09T20:59:58"
"CoCivium-website","GIBindex","9","100","2025-10-09T20:59:57"
"opename-ops","CoLaminar","2","100","2025-10-09T20:59:58"
"CoCivium-website","CoCivium-outreach","9","100","2025-10-09T20:59:57"
"opename-ops","CoCivium-outreach","2","100","2025-10-09T20:59:58"
"CoCivium-outreach","CoCivium","1627","99.694","2025-10-09T20:59:56"
"CoAgent__mvp3_resume-20250923-111953Z","CoAgent","81","96.429","2025-10-09T20:59:54"
"CoCivium","CoCivium-outreach","1627","93.883","2025-10-09T20:59:55"
"CoCivium-website","CoAgent","8","88.889","2025-10-09T20:59:57"
"CoCivium-website","CoAgent__mvp3_resume-20250923-111953Z","8","88.889","2025-10-09T20:59:57"
"CoCivium-website","CoCivium","8","88.889","2025-10-09T20:59:57"
"CoAgent","CoAgent__mvp3_resume-20250923-111953Z","81","85.263","2025-10-09T20:59:54"
"Civium","CoCivium-outreach","227","83.456","2025-10-09T20:59:53"
"Civium","CoCivium","227","83.456","2025-10-09T20:59:53"
"CoCivium.clean","CoCivium-outreach","892","77.7","2025-10-09T20:59:57"
"CoCivium.clean","CoCivium","891","77.613","2025-10-09T20:59:57"
"CoCivium-outreach","CoCivium.clean","892","54.657","2025-10-09T20:59:56"
"CoCivium","CoCivium.clean","891","51.414","2025-10-09T20:59:56"
"opename-ops","CoRef","1","50","2025-10-09T20:59:58"
"opename-ops","EntMent","1","50","2025-10-09T20:59:58"
"opename-ops","CoPolitic","1","50","2025-10-09T20:59:58"
"opename-ops","CoModules","1","50","2025-10-09T20:59:58"
"opename-ops","Godspawn","1","50","2025-10-09T20:59:58"
"opename-ops","GroupBuild-website","1","50","2025-10-09T20:59:58"
"opename-ops","InSeed","1","50","2025-10-09T20:59:58"
"opename-ops","CoCivium.clean","1","50","2025-10-09T20:59:58"
"opename-ops","rickballard","1","50","2025-10-09T20:59:58"
"opename-ops","RickPublic","1","50","2025-10-09T20:59:58"
"opename-ops","CoAgent__mvp3_resume-20250923-111953Z","1","50","2025-10-09T20:59:58"
"GIBindex","CoCivium-outreach","16","50","2025-10-09T20:59:57"
"opename-ops","Civium-Constitution","1","50","2025-10-09T20:59:58"
"opename-ops","Civium","1","50","2025-10-09T20:59:58"
"opename-ops","GIBindex","1","50","2025-10-09T20:59:58"
"CoLaminar","CoCivium-outreach","21","48.837","2025-10-09T20:59:57"
"GIBindex","CoCivium","15","46.875","2025-10-09T20:59:57"
"CoLaminar","CoCivium","20","46.512","2025-10-09T20:59:57"
"GIBindex","CoCivium.clean","14","43.75","2025-10-09T20:59:57"
"Opename","InSeed","5","41.667","2025-10-09T20:59:58"
"Opename","CoPolitic","5","41.667","2025-10-09T20:59:58"
"GIBindex","CoLaminar","13","40.625","2025-10-09T20:59:57"
"GIBindex","CoAgent__mvp3_resume-20250923-111953Z","12","37.5","2025-10-09T20:59:57"
"GIBindex","CoAgent","12","37.5","2025-10-09T20:59:57"
"CoLaminar","CoCivium.clean","15","34.884","2025-10-09T20:59:57"
"EntMent","InSeed","7","33.333","2025-10-09T20:59:57"
"Opename","CoCivium","4","33.333","2025-10-09T20:59:58"
"Opename","CoCivium-outreach","4","33.333","2025-10-09T20:59:58"
"Opename","CoLaminar","4","33.333","2025-10-09T20:59:58"
"Opename","MeritRank","4","33.333","2025-10-09T20:59:58"
"CoCivium-website","CoModules","3","33.333","2025-10-09T20:59:57"
"CoLaminar","CoAgent","14","32.558","2025-10-09T20:59:57"
"CoLaminar","GIBindex","13","30.233","2025-10-09T20:59:57"
"EntMent","GroupBuild","6","28.571","2025-10-09T20:59:57"
"GIBindex","CoCivium-website","9","28.125","2025-10-09T20:59:57"
"CoLaminar","CoAgent__mvp3_resume-20250923-111953Z","12","27.907","2025-10-09T20:59:57"
"CoLaminar","CoModules","11","25.581","2025-10-09T20:59:57"
"Opename","CoCivium.clean","3","25","2025-10-09T20:59:58"
"GIBindex","CoModules","8","25","2025-10-09T20:59:57"
"Opename","CoAgent","3","25","2025-10-09T20:59:58"
"CoLaminar","CoCivium-website","9","20.93","2025-10-09T20:59:57"
"CoModules","CoCivium-outreach","21","20.192","2025-10-09T20:59:57"
"CoModules","CoCivium","20","19.231","2025-10-09T20:59:57"
"GIBindex","CoCache","6","18.75","2025-10-09T20:59:57"
"GroupBuild","CoPolitic","1","16.667","2025-10-09T20:59:57"
"Opename","EntMent","2","16.667","2025-10-09T20:59:58"
"Opename","opename-ops","2","16.667","2025-10-09T20:59:58"
"GroupBuild","Opename","1","16.667","2025-10-09T20:59:57"
"Opename","CoCache","2","16.667","2025-10-09T20:59:58"
"Opename","Civium-Constitution","2","16.667","2025-10-09T20:59:58"
"CoAgent","CoCivium","14","14.737","2025-10-09T20:59:54"
"CoAgent","CoCivium-outreach","14","14.737","2025-10-09T20:59:54"
"CoAgent","CoLaminar","14","14.737","2025-10-09T20:59:54"
"CoRef","CoCivium.clean","1","14.286","2025-10-09T20:59:57"
"CoRef","CoCivium","1","14.286","2025-10-09T20:59:57"
"CoRef","CoCivium-outreach","1","14.286","2025-10-09T20:59:57"
"CoRef","CoAgent__mvp3_resume-20250923-111953Z","1","14.286","2025-10-09T20:59:57"
"CoRef","Civium","1","14.286","2025-10-09T20:59:57"
"CoRef","Civium-Constitution","1","14.286","2025-10-09T20:59:57"
"CoRef","CoCache","1","14.286","2025-10-09T20:59:57"
"CoRef","CoAgent","1","14.286","2025-10-09T20:59:57"
"CoAgent__mvp3_resume-20250923-111953Z","CoCivium-outreach","12","14.286","2025-10-09T20:59:54"
"CoRef","GroupBuild-website","1","14.286","2025-10-09T20:59:57"
"CoRef","rickballard","1","14.286","2025-10-09T20:59:57"
"CoRef","opename-ops","1","14.286","2025-10-09T20:59:57"
